gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,actq,aoq,atq,cogsq,cshoq,dlcq,dlttq,dvpq,lctq,loq,ltq,mibtq,niq,oiadpq,ppegtq,prcraq,pstkq,rectq,revtq,saleq,teqq,uaptq,capxy,chechy,costat,prccq,prchq,prclq
001045,20000331,2000,1,INDL,C,D,STD,AAL,USD,2000Q1,2000Q1,4999.0000,2581.0000,24314.0000,4077.0000,149.6850,472.0000,5544.0000,0.0000,6279.0000,4183.0000,17892.0000,,132.0000,212.0000,25614.0000,,0.0000,1493.0000,4577.0000,4577.0000,,,781.0000,-9.0000,A,31.8750,68.7500,27.0625
001045,20000630,2000,2,INDL,C,D,STD,AAL,USD,2000Q2,2000Q2,5377.0000,2574.0000,25473.0000,4200.0000,149.9580,742.0000,5395.0000,0.0000,7106.0000,4186.0000,18699.0000,,321.0000,517.0000,26619.0000,,0.0000,1447.0000,5011.0000,5011.0000,,,1917.0000,43.0000,A,26.4375,39.0000,26.1250
001045,20000930,2000,3,INDL,C,D,STD,AAL,USD,2000Q3,2000Q3,5352.0000,2500.0000,25899.0000,4377.0000,150.6890,768.0000,5198.0000,0.0000,7280.0000,4164.0000,18806.0000,,313.0000,572.0000,27354.0000,,0.0000,1496.0000,5256.0000,5256.0000,,,2792.0000,86.0000,A,32.6875,35.4375,26.0000
001045,20001231,2000,4,INDL,C,D,STD,AAL,USD,2000Q4,2000Q4,5179.0000,2398.0000,26213.0000,4466.0000,152.0630,796.0000,5474.0000,0.0000,6990.0000,4188.0000,19037.0000,,47.0000,80.0000,28157.0000,,0.0000,1303.0000,4859.0000,4859.0000,,,3678.0000,4.0000,A,39.1875,39.4375,27.6250
001045,20010331,2001,1,INDL,C,D,STD,AAL,USD,2001Q1,2001Q1,4573.0000,2886.0000,26534.0000,4451.0000,153.6940,696.0000,5877.0000,0.0000,6744.0000,4219.0000,19301.0000,,-43.0000,-4.0000,,,0.0000,1383.0000,4760.0000,4760.0000,,,847.0000,83.0000,A,35.1200,43.9375,30.7000
001045,20010630,2001,2,INDL,C,D,STD,AAL,USD,2001Q2,2001Q2,5174.0000,3820.0000,29002.0000,5306.0000,154.4080,613.0000,7167.0000,0.0000,7894.0000,4860.0000,22262.0000,,-507.0000,-75.0000,,,0.0000,1670.0000,5583.0000,5583.0000,,,2124.0000,176.0000,A,36.1300,39.5000,32.5000
001045,20010930,2001,3,INDL,C,D,STD,AAL,USD,2001Q3,2001Q3,6081.0000,5905.0000,31840.0000,5183.0000,154.4820,776.0000,8098.0000,0.0000,8103.0000,7240.0000,25609.0000,,-414.0000,-735.0000,,,0.0000,1829.0000,4816.0000,4816.0000,,,3059.0000,-20.0000,A,19.1400,38.4000,15.9000
001045,20011231,2001,4,INDL,C,D,STD,AAL,USD,2001Q4,2001Q4,6540.0000,6646.0000,32841.0000,4479.0000,154.4850,772.0000,9834.0000,0.0000,7512.0000,8495.0000,27468.0000,,-798.0000,-1046.0000,29659.0000,,0.0000,1414.0000,3804.0000,3804.0000,,,3640.0000,31.0000,A,22.3000,23.7400,15.1000
001045,20020331,2002,1,INDL,C,D,STD,AAL,USD,2002Q1,2002Q1,6271.0000,5393.0000,31614.0000,4551.0000,155.1190,713.0000,10238.0000,0.0000,7389.0000,8495.0000,27724.0000,,-1563.0000,-729.0000,30050.0000,,0.0000,1858.0000,4163.0000,4163.0000,,,619.0000,14.0000,A,26.4100,29.2000,21.6200
001045,20020630,2002,2,INDL,C,D,STD,AAL,USD,2002Q2,2002Q2,5848.0000,5606.0000,31538.0000,4771.0000,155.6890,497.0000,10616.0000,0.0000,7459.0000,8479.0000,28131.0000,,-495.0000,-601.0000,30184.0000,,0.0000,1556.0000,4508.0000,4508.0000,,,1113.0000,75.0000,A,16.8600,26.1100,15.5200
001045,20020930,2002,3,INDL,C,D,STD,AAL,USD,2002Q3,2002Q3,5987.0000,5774.0000,31502.0000,4797.0000,155.9930,550.0000,11931.0000,0.0000,7218.0000,8614.0000,28991.0000,,-924.0000,-613.0000,28886.0000,,0.0000,1563.0000,4524.0000,4524.0000,,,1537.0000,3.0000,A,4.1800,16.6500,3.6000
001045,20021231,2002,4,INDL,C,D,STD,AAL,USD,2002Q4,2002Q4,4937.0000,5636.0000,30267.0000,4522.0000,156.0890,868.0000,12310.0000,0.0000,7240.0000,9760.0000,29310.0000,,-529.0000,-679.0000,29073.0000,,0.0000,1481.0000,4190.0000,4190.0000,,,1881.0000,2.0000,A,6.6000,8.6100,3.0100
001045,20030331,2003,1,INDL,C,D,STD,AAL,USD,2003Q1,2003Q1,3634.0000,5702.0000,29086.0000,3943.0000,156.3960,807.0000,12345.0000,0.0000,7073.0000,9770.0000,29188.0000,,-1043.0000,-844.0000,29450.0000,,0.0000,924.0000,4120.0000,4120.0000,,,393.0000,53.0000,A,2.1000,7.1000,1.2500
001045,20030630,2003,2,INDL,C,D,STD,AAL,USD,2003Q2,2003Q2,4247.0000,5125.0000,29220.0000,3589.0000,158.8410,722.0000,12535.0000,0.0000,7081.0000,10106.0000,29722.0000,,-75.0000,-195.0000,29648.0000,,0.0000,924.0000,4324.0000,4324.0000,,,847.0000,53.0000,A,11.0000,11.9000,2.6500
001045,20030930,2003,3,INDL,C,D,STD,AAL,USD,2003Q3,2003Q3,5076.0000,5102.0000,29943.0000,3525.0000,159.3470,738.0000,13167.0000,0.0000,7132.0000,10165.0000,30464.0000,,1.0000,141.0000,29865.0000,,0.0000,936.0000,4605.0000,4605.0000,,,491.0000,54.0000,A,11.4500,13.4500,7.9000
001045,20031231,2003,4,INDL,C,D,STD,AAL,USD,2003Q4,2003Q4,4682.0000,5188.0000,29330.0000,3373.0000,159.5820,804.0000,13126.0000,0.0000,6559.0000,9599.0000,29284.0000,,-111.0000,103.0000,29003.0000,,0.0000,796.0000,4391.0000,4391.0000,,,680.0000,16.0000,A,12.9500,15.4600,11.0500
001045,20040331,2004,1,INDL,C,D,STD,AAL,USD,2004Q1,2004Q1,5406.0000,5191.0000,29950.0000,3562.0000,159.6250,815.0000,13577.0000,0.0000,7110.0000,9398.0000,30085.0000,,-166.0000,42.0000,29153.0000,,0.0000,965.0000,4512.0000,4512.0000,,,213.0000,32.0000,A,12.7300,17.6500,10.2500
001045,20040630,2004,2,INDL,C,D,STD,AAL,USD,2004Q2,2004Q2,5513.0000,5156.0000,30001.0000,3745.0000,160.6980,811.0000,13626.0000,0.0000,7297.0000,9200.0000,30123.0000,,6.0000,165.0000,29332.0000,,0.0000,919.0000,4830.0000,4830.0000,,,514.0000,76.0000,A,12.1100,14.5000,10.0400
